Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
6/28/13,96.98,97.45,88.01,89.96,18557.529,1703663.189,91.80442014
6/27/13,98.75,98.76,96,96.31,4937.416754,482170.1185,97.65635402
6/26/13,97.57,99.98,96.13,98.77,4940.407779,485879.3806,98.34803164
6/25/13,98.83,101,97.47,97.87,5294.051796,526380.4658,99.42865807
6/24/13,100.4,102.3,95,99.47,9702.68839,955431.2195,98.47077233
6/23/13,100,101.45,98.5,100.41,1977.392706,197763.9149,100.012463
6/22/13,101.29,103,98.55,100,3350.325571,337220.7535,100.6531295
6/21/13,103,104.86,90,101.8,12331.663,1230642.176,99.79531359
6/20/13,105.24,108,102.47,102.61,9088.525476,962034.2019,105.8515162
6/19/13,104.49,107.5,102,105.24,5483.535733,577287.6743,105.276541
6/18/13,100.39,108.18,99.99,104.5,10874.7433,1140452.089,104.8716331
6/17/13,98.74,101.47,98.29,100,4785.76602,478802.7633,100.0472571
6/16/13,99.43,101.11,98,99.37,3089.734628,307992.6937,99.68257175
6/15/13,99.01,105,96.22,99.42,4243.407718,424828.5381,100.1149468
6/14/13,101.86,102.95,95,99.01,10698.41201,1065910.003,99.63254378
6/13/13,106.1,108.43,95,102,8047.280501,832544.8658,103.4566728
6/12/13,107.35,111.18,105.01,106.56,7612.620553,823736.4889,108.2066922
6/11/13,104.21,108,102.97,107.36,5234.35334,556199.6728,106.2594817
6/10/13,100.17,107.9,93.1,104.22,13536.55841,1380204.733,101.9612734
6/9/13,109.11,110,90,100.17,30734.49889,2998512.843,97.56179379
6/8/13,110.17,112.46,108.44,109.11,5055.007114,554176.4611,109.6292149
6/7/13,118.78,119.16,107,110.18,18261.4761,2063005.122,112.9703377
6/6/13,120.98,121.33,118.43,118.78,4936.978171,592802.3839,120.0739326
6/5/13,120.58,122.74,119.65,121.2,4733.026949,571825.812,120.8160905
6/4/13,123.22,123.66,116.32,120.57,7975.858718,962931.1389,120.7307166
6/3/13,123.35,125.01,117,123.22,8850.29223,1064544.619,120.2835558
6/2/13,128.77,128.8,117.02,123,15138.12901,1845021.663,121.8791081
6/1/13,127.76,128.86,127.09,128.77,3406.485173,436509.9963,128.1408766
5/31/13,126.78,129.87,125.06,127.91,5633.948496,720534.7778,127.891616
5/30/13,130.01,131,124.9,126.81,9432.356132,1215580.347,128.8734575
5/29/13,125.99,130.4,125.53,130.35,9946.839237,1276086.572,128.2906601
5/28/13,126.2,127.11,123,125.92,6072.757805,762645.77,125.5847499
5/27/13,130.27,130.6,120.33,126.25,7413.811806,944067.491,127.3390148
5/26/13,128.98,130.29,127.97,129.5,3916.064675,507344.0365,129.5545601
5/25/13,128.65,129.73,126.03,128.97,5146.705199,659629.1096,128.1653182
5/24/13,123.84,129.94,122.52,128.7,13193.58203,1667171.426,126.3623042
5/23/13,118.45,123.9,118.36,123.84,10212.79546,1235081.775,120.9347411
5/22/13,117.25,119.48,117,119.11,7275.604712,861702.6459,118.4372544
5/21/13,117.81,118.56,116.9,117.5,3656.254723,430370.5197,117.7080243
5/20/13,117.27,118.94,114.03,116.55,4541.309886,533212.7296,117.4138614
5/19/13,118.49,118.98,114.1,116.38,4800.361432,562576.3364,117.1945789
5/18/13,117.51,118.55,115.99,118.49,3906.230902,458946.9978,117.4910059
5/17/13,113.36,118.16,112.82,116.73,9721.360895,1122824.599,115.5007629
5/16/13,108.96,113.35,108.35,113.35,7515.761663,834106.7642,110.9810025
5/15/13,107,113,101.72,108.95,10914.51829,1187889.935,108.8357638
5/14/13,115.98,117.9,103.5,107,12120.00784,1369310.43,112.9793353
5/13/13,115.05,117.48,113.55,115.99,3412.041234,396130.0561,116.0976755
5/12/13,115.58,117.86,113,114.5,3366.703035,386962.6307,114.9381536
5/11/13,117.9,118.5,112.95,115.04,4692.104967,541315.2303,115.3672465
5/10/13,111.96,119.98,109.2,117.9,10480.13512,1210254.422,115.4808033
5/9/13,113.16,113.95,109,111.96,6725.708427,747542.35,111.1470053
5/8/13,110.92,116.29,109.41,113.16,8261.640642,933648.9413,113.0101128
5/7/13,112.67,112.95,98.77,110,14941.55264,1598932.961,107.012504
5/6/13,116.9,123.97,105,112.71,17251.55561,2019204.734,117.0447917
5/5/13,112.89,118.76,106.5,116.57,9033.941778,1027108.586,113.6943995
5/4/13,98.08,115.64,94,112.62,15910.12808,1680499.987,105.6245418
5/3/13,107.02,108,81.5,98.08,26863.56445,2454817.072,91.38091399
5/2/13,116.75,127.24,93.01,106.81,21725.1336,2337279.836,107.584141
5/1/13,139.87,140.3,104.9,116.75,21104.90213,2571869.925,121.8612581
4/30/13,143.32,144.99,133.89,139.88,8465.297181,1177535.613,139.1015091
4/29/13,135.31,151.65,123.96,143.31,10485.46214,1481409.037,141.2821884
4/28/13,128.8,148.18,121.57,135.28,5136.525501,687058.9269,133.7594697
4/27/13,137.3,148.61,125.76,128.8,6686.075088,880153.6256,131.6398057
4/26/13,141.9,142.53,126.68,137.3,10688.92109,1434028.953,134.1603087
4/25/13,150,170.28,123.2,141.9,16566.09169,2371208.931,143.1362916
4/24/13,137.3,161,134.98,149,21232.85034,3132037.003,147.5090227
4/23/13,123.73,138.87,121.12,137.29,13391.87056,1754207.716,130.9904922
4/22/13,118.91,125.01,116,123.74,6675.549458,806995.9642,120.8883208
4/21/13,126.55,129,101,118.81,17188.09077,2014050.169,117.1770731
4/20/13,118.11,129.79,114.27,126.55,7474.814248,917496.7901,122.7450957
4/19/13,109.3,140.2,100,117.71,25498.95205,3014004.73,118.2011215
4/18/13,89.98,111.23,78.92,109.3,16527.45972,1599320.963,96.76750032
4/17/13,67.85,101.12,60,89.98,30854.42412,2607701.516,84.51629194
4/16/13,73.99,82,49.8,68.09,35706.58629,2335121.25,65.39749364
4/15/13,91.79,99.8,60,74,19578.12872,1685980.111,86.11548811
4/14/13,90.44,99.99,81.94,91.11,5777.573331,549492.0632,95.10776093
4/13/13,109.9,119,85,91.64,16830.84314,1708591.813,101.5155212
4/12/13,81.02,112,45,109.9,29095.90819,2208419.004,75.90136006
4/11/13,162,179,50,83.4,37205.88492,3955205.773,106.3059186
4/10/13,228.94,259.34,70,162,20889.47079,3647719.876,174.6200233
4/9/13,185.6,235.29,164.34,229,11211.78878,2408925.327,214.856467
4/8/13,164.97,198,162,185.6,13411.06324,2441789.843,182.0728006
4/7/13,141,165.1,140.65,164.97,6737.212447,1031866.578,153.1592756
4/6/13,141.8,150.03,138.5,141,3504.273954,496447.0394,141.669015
4/5/13,134.67,200,127.09,141.8,7564.277722,1059570.015,140.0755041
4/4/13,133.87,150,119,135,7265.273001,962558.3508,132.487568
4/3/13,116,158.41,110,133.78,15003.9485,1942177.682,129.444438
4/2/13,103.73,116,100.1,116,6441.039003,703416.0469,109.208475
4/1/13,95.5,106.5,93.7,104.7,6540.705268,651512.7151,99.60893946
3/31/13,92.12,96.15,92.12,96.15,2003.817698,188706.624,94.1735489
3/30/13,90.49,95,89.31,92.11,1799.520755,167125.8778,92.87243694
3/29/13,88.96,94,84,90,6658.416937,598347.5042,89.86332785
3/28/13,89.4,97,80,88.52,9823.473358,885159.0995,90.10653027
3/27/13,79.81,89.99,78.75,89.3,6073.079583,528292.7343,86.98926584
3/26/13,74.3,100,74.3,79.81,6748.681119,536804.5562,79.54214264
3/25/13,70.22,80,69.25,75.11,8198.252314,600261.144,73.2181837
3/24/13,64.37,71,63.36,70.22,3627.694804,249504.607,68.77772815
