Date,Open,High,Low,Close,Volume_BTC,Volume_Currency,WeightedPrice
1/30/12,5.38,5.6,5.36694,5.49048,42303.13752,233179.6989,5.512113581
1/29/12,5.62572,5.69999,5.32766,5.3809,46430.45339,254457.174,5.48039391
1/28/12,5.29199,5.76,5.26,5.62667,89708.02236,499881.4898,5.572316463
1/27/12,5.34999,5.51,5.05,5.29199,115567.8271,611581.183,5.291967483
1/26/12,5.8,5.92,5.3,5.34,123954.108,692624.7296,5.58775131
1/25/12,6.28958,6.322,5.502,5.75,133115.2462,782053.6541,5.875011889
1/24/12,6.356,6.39397,6.219,6.28978,35663.0773,224665.5918,6.29966926
1/23/12,6.3096,6.389,6.212,6.356,17693.04572,111630.5501,6.309289645
1/22/12,6.18409,6.45485,6.1,6.3097,44890.65208,282233.7588,6.287138762
1/21/12,6.4979,6.548,6.1,6.18,64761.69143,407116.404,6.286376946
1/20/12,6.352,6.58,6.258,6.48979,66786.47766,429803.5609,6.43548778
1/19/12,5.91998,6.36077,5.87284,6.35979,114820.4469,709705.2689,6.181000754
1/18/12,5.5503,6.95,5.09999,5.92,226680.9676,1354753.444,5.976476358
1/17/12,6.67479,6.95,4.64,5.59998,213409.8012,1288538.967,6.037862176
1/16/12,7.00177,7.18888,6.511,6.68254,122666.5678,837413.6084,6.826746874
1/15/12,6.74991,7.08,6.74115,7.00177,62233.32745,429700.8557,6.904674286
1/14/12,6.42,6.95039,6.2201,6.75001,141896.3235,935192.5115,6.590674716
1/13/12,6.78211,6.804,6.4,6.41,60228.77425,398312.1825,6.613320419
1/12/12,6.9,6.997,6.337,6.79999,140116.524,944165.9353,6.7384339
1/11/12,6.44904,7.138,6.41266,6.9,99442.0698,677642.8374,6.814448238
1/10/12,6.32687,6.89,6.001,6.36,110210.2495,705056.4807,6.397376685
1/9/12,7.08362,7.191,5.81,6.3257,148406.8488,960592.313,6.472695302
1/8/12,6.7866,7.2,6.73357,7.11358,57193.52531,403151.4435,7.048900051
